,grav_x,grav_y,grav_z,linear_x,linear_y,linear_z,gyro_x,gyro_y,gyro_z
94,0.3096490204,6.506761074,7.330518246,0.04548983276,6.459855556,7.537246227,0.09773843735,0.7564038634,0.4643339515
95,0.2849520743,6.510907173,7.32783556,-0.117315881,6.56041193,7.635408401,0.09224065393,0.7545713186,0.4875468314
96,0.2617275715,6.514787674,7.325256348,-0.2226607651,6.656179905,7.609072208,0.0726929605,0.7203628421,0.506483674
97,0.2419327348,6.517338276,7.323663235,-0.1843535304,6.605901718,7.580341816,0.04886921868,0.6635523438,0.5388594866
98,0.227982834,6.518349648,7.323214531,-0.0191536136,6.500556946,7.470208645,0.02138028294,0.5975789428,0.5858961344
99,0.221590206,6.517470837,7.324193478,0.2370259613,6.390423775,7.312191486,0.01343903504,0.5328271985,0.6317110062
100,0.2227925658,6.516042233,7.325421333,0.5722141862,6.340145588,7.187692642,0.03298672289,0.5181664228,0.6726390123
101,0.2279515564,6.516131878,7.325188637,0.758961916,6.292261124,7.170933247,0.07696902007,0.6244570017,0.7263951302
102,0.2293482721,6.519498825,7.322147846,0.8978256583,6.213252544,7.218817234,0.1087340117,0.7246388793,0.7422776222
103,0.224962309,6.525210381,7.317195892,1.00556469,6.177339554,7.125443459,0.1429424733,0.8126034737,0.7410559058
104,0.2149932981,6.533200741,7.310360909,0.9504981041,6.256348133,6.962637901,0.17715092,0.8584184051,0.7221190929
105,0.2020034641,6.543404579,7.301599503,0.7541735172,6.325780392,6.840533733,0.1930334121,0.8749117255,0.6927975416
106,0.1868152469,6.555036545,7.291561127,0.5003881454,6.426336765,6.840533733,0.1844813079,0.8907942176,0.6646977663
107,0.1690636128,6.566432953,7.281733513,0.2035071403,6.414365768,7.032069683,0.1576032341,0.8975137472,0.6500369906
108,0.1499313265,6.576287746,7.273254871,0.2418143749,6.479009151,6.960243702,0.1160643995,0.8633053303,0.6537021995
109,0.1333124936,6.583311081,7.26722765,0.4141969085,6.567594528,7.091924667,0.1154535338,0.755793035,0.6836345792
110,0.1262584776,6.590446949,7.260877132,0.5770025849,6.543652534,7.276278019,0.09040805697,0.7631233931,0.7306711674
111,0.12187545,6.59585619,7.256039619,0.6153098345,6.431125164,7.281066418,0.04764748737,0.8468119502,0.7715991735
112,0.1145443693,6.598107815,7.254115105,0.5793967843,6.354510784,7.245153427,0.01038470957,0.8297077417,0.7648796439
113,0.1083323658,6.597608566,7.254663944,0.5746083856,6.328174591,7.333739281,-0.01282817032,0.8272642493,0.7520514727
114,0.1016375422,6.595376968,7.256788731,0.6440402865,6.364087582,7.508515835,-0.03787364438,0.841314137,0.7404450178
115,0.09331716597,6.591240883,7.26065588,-1.146822572,6.81659174,6.045658588,-0.05009094998,0.8217664957,0.7141778469
116,-1.995912552,6.959882736,6.614122391,-1.405396342,6.756736279,6.177339554,-0.1637118906,0.2029599845,0.02939788997
117,-2.005726576,6.95042181,6.621102333,-1.616086125,6.617872715,6.438307762,-0.2070833147,0.1406517178,-0.01214094646
118,-2.014119625,6.937340736,6.632260323,-1.663970232,6.534075737,6.74955368,-0.2461786866,0.07773260027,-0.01519527286
119,-2.018492699,6.921561718,6.64740181,-1.661576033,6.567594528,7.04404068,-0.2608394623,0.05024366826,0.008017606102
120,-2.019296408,6.905100346,6.664256573,-1.750161409,6.680121899,7.30022049,-0.2492330223,0.06246097013,0.03367394581
121,-2.018847227,6.889680862,6.680328846,-1.673547029,6.6753335,7.388805866,-0.2101376504,0.1101084575,0.05688682571
122,-2.019659758,6.876991749,6.693148613,-1.575384736,6.699275494,7.225999832,-0.1447750628,0.1742493063,0.08437576145
123,-2.022435188,6.868783951,6.700737953,-1.520318031,6.728005886,6.936301708,-0.06108652428,0.22434026,0.09781479836
124,-2.027230978,6.866093636,6.702039242,-1.589749932,6.804620743,6.670545101,0.05681046844,0.2316706479,0.07521278411
125,-2.033770323,6.870747089,6.695294857,-1.678335428,6.847716331,6.299443722,0.1148426682,0.1870774776,0.04528038576
